Categories from Survey,Final Category,
Vacation/ honeymoon,Vacation,
Vacationed to Orlando (solo),Vacation,
vendor tour,Trip,
vip guest,NewProject,
Visit from a friend,MoreLessFamilyMeetups,
visit sick parent,Trip,
Visited college friends at school,Trip,
volunteer,NewProject,
"Wage increase, no promotion",GotBonus,
Wallet stolen,Robbed,
Was at a baseball game where my team advanced to National League Championship,SportsEvent,
Was working on an adoption,AdoptedChild,
We found out we were expecting.,Pregnant,
wedding,Married,
Wedding,Married,
wedding planning,Married,
weight loss,HealthGain,
Went on FMLA Leave,BreakFromWork,
Went on vacation,Vacation,
went part-time at work,BreakFromWork,
Went to Disney,Trip,
Went to see Family in Russia,Trip,
Wife diagnosed with cancer,HealthLossFriendRelative,
wife had medical issues (blood clots,HealthLossFriendRelative,
Wife started grad school,BackToSchool,
Wife suffered from baby blues,HealthLossFriendRelative,
Wife surgery,HealthLossFriendRelative,
Wife's mother diagnosed with cancer,HealthLossFriendRelative,
Wisdom teeth removed,HealthGain,
Work - All hands meeting,HeavyWork,
Work and fun trip,Trip,
Work Balance,GoodWorkLife,
Work Bonus,GotBonus,
work evaluation/performance review,PerformanceReview,
Work load and responsibilities increase,HeavyWork,
Work trip,Trip,
Worked over 400 hours in 5 weeks,HeavyWork,
Worsening of relationship with my wife,NegativeRelationship,
Wrist surgery,Surgery,
Written up for major project,NewProject,
WSU Game,SportsEvent,
year end and perfroamnce review,PerformanceReview,
Year End Appraisal,PerformanceReview,
Year end financial work,MiscFinancialChange,
Year end performance review,PerformanceReview,
Year End Review,PerformanceReview,
Year end review,PerformanceReview,
Year-End,PerformanceReview,
Year-end,PerformanceReview,
Year-end Performance reviews,PerformanceReview,
Year-end provision,PerformanceReview,
Yearly Performance Evaluation,PerformanceReview,
Yearly Performance Reviews,PerformanceReview,
Yearly review,PerformanceReview,
yearly review,PerformanceReview,
,SportsEvent,
,BadWorkLife,
